inventory_id,store_id,product_id,current_stock,updated_at
1,S01,P001,72,2026-09-04T00:00:00
2,S01,P002,66,2026-09-04T00:00:00
3,S01,P003,72,2026-09-04T00:00:00
4,S01,P004,94,2026-09-04T00:00:00
5,S01,P005,22,2026-09-04T00:00:00
6,S01,P006,18,2026-09-04T00:00:00
7,S01,P007,37,2026-09-04T00:00:00
8,S01,P008,49,2026-09-04T00:00:00
9,S01,P009,22,2026-09-04T00:00:00
10,S01,P010,53,2026-09-04T00:00:00
11,S01,P011,48,2026-09-04T00:00:00
12,S01,P012,34,2026-09-04T00:00:00
13,S01,P013,30,2026-09-04T00:00:00
14,S01,P014,95,2026-09-04T00:00:00
15,S01,P015,20,2026-09-04T00:00:00
16,S01,P016,54,2026-09-04T00:00:00
17,S01,P017,17,2026-09-04T00:00:00
18,S01,P018,13,2026-09-04T00:00:00
19,S01,P019,69,2026-09-04T00:00:00
20,S01,P020,86,2026-09-04T00:00:00
21,S01,P021,163,2026-09-04T00:00:00
22,S01,P022,47,2026-09-04T00:00:00
23,S01,P023,49,2026-09-04T00:00:00
24,S01,P024,41,2026-09-04T00:00:00
25,S01,P025,107,2026-09-04T00:00:00
26,S01,P026,36,2026-09-04T00:00:00
27,S01,P027,41,2026-09-04T00:00:00
28,S01,P028,51,2026-09-04T00:00:00
29,S01,P029,114,2026-09-04T00:00:00
30,S01,P030,105,2026-09-04T00:00:00
31,S01,P031,52,2026-09-04T00:00:00
32,S01,P032,66,2026-09-04T00:00:00
33,S01,P033,53,2026-09-04T00:00:00
34,S01,P034,135,2026-09-04T00:00:00
35,S01,P035,105,2026-09-04T00:00:00
36,S01,P036,70,2026-09-04T00:00:00
37,S01,P037,95,2026-09-04T00:00:00
38,S01,P038,46,2026-09-04T00:00:00
39,S01,P039,84,2026-09-04T00:00:00
40,S01,P040,46,2026-09-04T00:00:00
41,S02,P001,68,2026-09-04T00:00:00
42,S02,P002,67,2026-09-04T00:00:00
43,S02,P003,85,2026-09-04T00:00:00
44,S02,P004,114,2026-09-04T00:00:00
45,S02,P005,130,2026-09-04T00:00:00
46,S02,P006,59,2026-09-04T00:00:00
47,S02,P007,40,2026-09-04T00:00:00
48,S02,P008,39,2026-09-04T00:00:00
49,S02,P009,46,2026-09-04T00:00:00
50,S02,P010,49,2026-09-04T00:00:00
51,S02,P011,41,2026-09-04T00:00:00
52,S02,P012,28,2026-09-04T00:00:00
53,S02,P013,24,2026-09-04T00:00:00
54,S02,P014,84,2026-09-04T00:00:00
55,S02,P015,10,2026-09-04T00:00:00
56,S02,P016,86,2026-09-04T00:00:00
57,S02,P017,13,2026-09-04T00:00:00
58,S02,P018,5,2026-09-04T00:00:00
59,S02,P019,70,2026-09-04T00:00:00
60,S02,P020,64,2026-09-04T00:00:00
61,S02,P021,145,2026-09-04T00:00:00
62,S02,P022,31,2026-09-04T00:00:00
63,S02,P023,60,2026-09-04T00:00:00
64,S02,P024,36,2026-09-04T00:00:00
65,S02,P025,101,2026-09-04T00:00:00
66,S02,P026,92,2026-09-04T00:00:00
67,S02,P027,44,2026-09-04T00:00:00
68,S02,P028,57,2026-09-04T00:00:00
69,S02,P029,84,2026-09-04T00:00:00
70,S02,P030,101,2026-09-04T00:00:00
71,S02,P031,46,2026-09-04T00:00:00
72,S02,P032,62,2026-09-04T00:00:00
73,S02,P033,48,2026-09-04T00:00:00
74,S02,P034,140,2026-09-04T00:00:00
75,S02,P035,104,2026-09-04T00:00:00
76,S02,P036,63,2026-09-04T00:00:00
77,S02,P037,58,2026-09-04T00:00:00
78,S02,P038,38,2026-09-04T00:00:00
79,S02,P039,86,2026-09-04T00:00:00
80,S02,P040,44,2026-09-04T00:00:00
81,S03,P001,98,2026-09-04T00:00:00
82,S03,P002,58,2026-09-04T00:00:00
83,S03,P003,83,2026-09-04T00:00:00
84,S03,P004,110,2026-09-04T00:00:00
85,S03,P005,134,2026-09-04T00:00:00
86,S03,P006,12,2026-09-04T00:00:00
87,S03,P007,48,2026-09-04T00:00:00
88,S03,P008,52,2026-09-04T00:00:00
89,S03,P009,28,2026-09-04T00:00:00
90,S03,P010,74,2026-09-04T00:00:00
91,S03,P011,46,2026-09-04T00:00:00
92,S03,P012,40,2026-09-04T00:00:00
93,S03,P013,6,2026-09-04T00:00:00
94,S03,P014,99,2026-09-04T00:00:00
95,S03,P015,20,2026-09-04T00:00:00
96,S03,P016,19,2026-09-04T00:00:00
97,S03,P017,14,2026-09-04T00:00:00
98,S03,P018,14,2026-09-04T00:00:00
99,S03,P019,79,2026-09-04T00:00:00
100,S03,P020,114,2026-09-04T00:00:00
101,S03,P021,216,2026-09-04T00:00:00
102,S03,P022,49,2026-09-04T00:00:00
103,S03,P023,61,2026-09-04T00:00:00
104,S03,P024,51,2026-09-04T00:00:00
105,S03,P025,86,2026-09-04T00:00:00
106,S03,P026,40,2026-09-04T00:00:00
107,S03,P027,39,2026-09-04T00:00:00
108,S03,P028,51,2026-09-04T00:00:00
109,S03,P029,127,2026-09-04T00:00:00
110,S03,P030,101,2026-09-04T00:00:00
111,S03,P031,47,2026-09-04T00:00:00
112,S03,P032,81,2026-09-04T00:00:00
113,S03,P033,55,2026-09-04T00:00:00
114,S03,P034,169,2026-09-04T00:00:00
115,S03,P035,93,2026-09-04T00:00:00
116,S03,P036,79,2026-09-04T00:00:00
117,S03,P037,73,2026-09-04T00:00:00
118,S03,P038,48,2026-09-04T00:00:00
119,S03,P039,98,2026-09-04T00:00:00
120,S03,P040,47,2026-09-04T00:00:00
121,S04,P001,74,2026-09-04T00:00:00
122,S04,P002,39,2026-09-04T00:00:00
123,S04,P003,77,2026-09-04T00:00:00
124,S04,P004,81,2026-09-04T00:00:00
125,S04,P005,97,2026-09-04T00:00:00
126,S04,P006,57,2026-09-04T00:00:00
127,S04,P007,35,2026-09-04T00:00:00
128,S04,P008,42,2026-09-04T00:00:00
129,S04,P009,32,2026-09-04T00:00:00
130,S04,P010,47,2026-09-04T00:00:00
