sale_id,sale_date,store_id,product_id,quantity,revenue
1,2026-06-07,S01,P001,7,6293.0
2,2026-06-07,S01,P002,2,2998.0
3,2026-06-07,S01,P003,6,7794.0
4,2026-06-07,S01,P004,9,2241.0
5,2026-06-07,S01,P005,8,1592.0
6,2026-06-07,S01,P006,12,9588.0
7,2026-06-07,S01,P007,1,1299.0
8,2026-06-07,S01,P008,4,2796.0
9,2026-06-07,S01,P009,1,2499.0
10,2026-06-07,S01,P010,2,1798.0
11,2026-06-07,S01,P011,5,7995.0
12,2026-06-07,S01,P013,1,3999.0
13,2026-06-07,S01,P014,3,897.0
14,2026-06-07,S01,P019,4,1996.0
15,2026-06-07,S01,P020,1,349.0
16,2026-06-07,S01,P021,8,792.0
17,2026-06-07,S01,P022,2,798.0
18,2026-06-07,S01,P023,3,747.0
19,2026-06-07,S01,P024,4,5196.0
20,2026-06-07,S01,P025,4,1396.0
21,2026-06-07,S01,P027,1,599.0
22,2026-06-07,S01,P028,5,1495.0
23,2026-06-07,S01,P029,3,747.0
24,2026-06-07,S01,P030,3,597.0
25,2026-06-07,S01,P031,1,699.0
26,2026-06-07,S01,P032,4,1396.0
27,2026-06-07,S01,P033,3,597.0
28,2026-06-07,S01,P034,9,711.0
29,2026-06-07,S01,P035,5,295.0
30,2026-06-07,S01,P036,4,516.0
31,2026-06-07,S01,P037,2,298.0
32,2026-06-07,S01,P038,2,498.0
33,2026-06-07,S01,P039,2,58.0
34,2026-06-07,S01,P040,1,449.0
35,2026-06-07,S02,P001,3,2697.0
36,2026-06-07,S02,P002,7,10493.0
37,2026-06-07,S02,P003,3,3897.0
38,2026-06-07,S02,P004,4,996.0
39,2026-06-07,S02,P005,6,1194.0
40,2026-06-07,S02,P006,5,3995.0
41,2026-06-07,S02,P008,1,699.0
42,2026-06-07,S02,P009,3,7497.0
43,2026-06-07,S02,P010,3,2697.0
44,2026-06-07,S02,P011,2,3198.0
45,2026-06-07,S02,P012,1,1899.0
46,2026-06-07,S02,P013,2,7998.0
47,2026-06-07,S02,P014,2,598.0
48,2026-06-07,S02,P015,1,5499.0
49,2026-06-07,S02,P018,1,8999.0
50,2026-06-07,S02,P019,4,1996.0
51,2026-06-07,S02,P020,3,1047.0
52,2026-06-07,S02,P021,10,990.0
53,2026-06-07,S02,P023,2,498.0
54,2026-06-07,S02,P025,4,1396.0
55,2026-06-07,S02,P026,1,799.0
56,2026-06-07,S02,P028,1,299.0
57,2026-06-07,S02,P029,1,249.0
58,2026-06-07,S02,P030,2,398.0
59,2026-06-07,S02,P031,2,1398.0
60,2026-06-07,S02,P032,3,1047.0
61,2026-06-07,S02,P033,1,199.0
62,2026-06-07,S02,P034,4,316.0
63,2026-06-07,S02,P035,3,177.0
64,2026-06-07,S02,P036,2,258.0
65,2026-06-07,S02,P037,6,894.0
66,2026-06-07,S02,P038,2,498.0
67,2026-06-07,S02,P039,1,29.0
68,2026-06-07,S02,P040,1,449.0
69,2026-06-07,S03,P001,3,2697.0
70,2026-06-07,S03,P002,2,2998.0
71,2026-06-07,S03,P003,6,7794.0
72,2026-06-07,S03,P004,9,2241.0
73,2026-06-07,S03,P005,7,1393.0
74,2026-06-07,S03,P006,14,11186.0
75,2026-06-07,S03,P007,5,6495.0
76,2026-06-07,S03,P009,1,2499.0
77,2026-06-07,S03,P010,6,5394.0
78,2026-06-07,S03,P011,2,3198.0
79,2026-06-07,S03,P013,2,7998.0
80,2026-06-07,S03,P014,9,2691.0
81,2026-06-07,S03,P015,2,10998.0
82,2026-06-07,S03,P019,3,1497.0
83,2026-06-07,S03,P020,4,1396.0
84,2026-06-07,S03,P021,10,990.0
85,2026-06-07,S03,P022,1,399.0
86,2026-06-07,S03,P023,4,996.0
87,2026-06-07,S03,P025,3,1047.0
88,2026-06-07,S03,P026,1,799.0
89,2026-06-07,S03,P027,5,2995.0
90,2026-06-07,S03,P028,1,299.0
91,2026-06-07,S03,P029,7,1743.0
92,2026-06-07,S03,P030,5,995.0
93,2026-06-07,S03,P031,2,1398.0
94,2026-06-07,S03,P032,1,349.0
95,2026-06-07,S03,P033,5,995.0
96,2026-06-07,S03,P034,10,790.0
97,2026-06-07,S03,P035,4,236.0
98,2026-06-07,S03,P036,3,387.0
99,2026-06-07,S03,P037,2,298.0
100,2026-06-07,S03,P038,2,498.0
101,2026-06-07,S03,P039,2,58.0
102,2026-06-07,S03,P040,2,898.0
103,2026-06-07,S04,P001,5,4495.0
104,2026-06-07,S04,P002,6,8994.0
105,2026-06-07,S04,P003,3,3897.0
106,2026-06-07,S04,P004,3,747.0
107,2026-06-07,S04,P005,3,597.0
108,2026-06-07,S04,P006,10,7990.0
109,2026-06-07,S04,P007,3,3897.0
110,2026-06-07,S04,P009,1,2499.0
111,2026-06-07,S04,P010,1,899.0
112,2026-06-07,S04,P011,5,7995.0
113,2026-06-07,S04,P012,1,1899.0
114,2026-06-07,S04,P014,4,1196.0
115,2026-06-07,S04,P015,1,5499.0
116,2026-06-07,S04,P019,2,998.0
117,2026-06-07,S04,P020,6,2094.0
118,2026-06-07,S04,P021,12,1188.0
119,2026-06-07,S04,P022,1,399.0
120,2026-06-07,S04,P023,3,747.0
121,2026-06-07,S04,P024,1,1299.0
122,2026-06-07,S04,P025,2,698.0
123,2026-06-07,S04,P027,1,599.0
124,2026-06-07,S04,P028,2,598.0
125,2026-06-07,S04,P029,11,2739.0
126,2026-06-07,S04,P030,8,1592.0
127,2026-06-07,S04,P032,5,1745.0
128,2026-06-07,S04,P033,1,199.0
129,2026-06-07,S04,P034,6,474.0
130,2026-06-07,S04,P035,7,413.0
131,2026-06-07,S04,P036,3,387.0
132,2026-06-07,S04,P037,2,298.0
133,2026-06-07,S04,P038,2,498.0
134,2026-06-07,S04,P040,3,1347.0
135,2026-06-07,S05,P001,2,1798.0
136,2026-06-07,S05,P002,1,1499.0
137,2026-06-07,S05,P004,4,996.0
138,2026-06-07,S05,P005,2,398.0
139,2026-06-07,S05,P006,6,4794.0
140,2026-06-07,S05,P011,2,3198.0
141,2026-06-07,S05,P013,2,7998.0
142,2026-06-07,S05,P014,2,598.0
143,2026-06-07,S05,P016,1,7499.0
144,2026-06-07,S05,P019,1,499.0
145,2026-06-07,S05,P020,1,349.0
146,2026-06-07,S05,P021,3,297.0
147,2026-06-07,S05,P022,2,798.0
148,2026-06-07,S05,P023,2,498.0
149,2026-06-07,S05,P024,3,3897.0
150,2026-06-07,S05,P025,1,349.0
151,2026-06-07,S05,P027,1,599.0
152,2026-06-07,S05,P028,1,299.0
153,2026-06-07,S05,P029,2,498.0
154,2026-06-07,S05,P030,1,199.0
155,2026-06-07,S05,P031,1,699.0
156,2026-06-07,S05,P032,1,349.0
157,2026-06-07,S05,P034,1,79.0
158,2026-06-07,S05,P035,2,118.0
159,2026-06-07,S05,P036,1,129.0
160,2026-06-07,S05,P039,1,29.0
161,2026-06-07,S05,P040,1,449.0
162,2026-06-08,S01,P001,4,3596.0
163,2026-06-08,S01,P002,1,1499.0
164,2026-06-08,S01,P003,2,2598.0
165,2026-06-08,S01,P004,2,498.0
166,2026-06-08,S01,P005,3,597.0
167,2026-06-08,S01,P006,2,1598.0
168,2026-06-08,S01,P010,1,899.0
169,2026-06-08,S01,P011,3,4797.0
170,2026-06-08,S01,P012,2,3798.0
171,2026-06-08,S01,P013,2,7998.0
172,2026-06-08,S01,P014,6,1794.0
173,2026-06-08,S01,P015,1,5499.0
174,2026-06-08,S01,P021,2,198.0
175,2026-06-08,S01,P022,2,798.0
176,2026-06-08,S01,P023,2,498.0
177,2026-06-08,S01,P025,2,698.0
178,2026-06-08,S01,P027,1,599.0
179,2026-06-08,S01,P029,6,1494.0
